Gene	SRR1146604	SRR1146605	SRR1146606	SRR1146607	SRR1146608	SRR1146609
ENSG00000000003	655.948054545036	772.0900617237834	607.836530730652	692.9543670279678	604.3498725504359	654.5880752814991
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	2674.785374840393	2842.640509394208	2476.605015174087	2413.725176665794	2273.3995526227504	2088.6821893566485
ENSG00000000457	502.81080860782885	486.9491693086443	446.82232967915235	428.02132240701246	393.1472888432399	393.51808872560576
ENSG00000000460	1328.677189066628	1390.3366733088847	1197.1536308837221	1043.5345869404825	1000.3739253145233	940.3466038947249
ENSG00000000938	11.634595112080186	4.342302850364428	7.2435285008488774	5.080538714412838	12.279600462865968	12.032788511519893
ENSG00000000971	873.1926790770486	874.9617944572736	702.1297981715501	850.3822901848865	692.6267689711419	748.758516221727
ENSG00000001036	7152.306098541613	7360.763790434721	6866.844048078204	5416.701582829623	4965.187070062186	5664.084693505755
ENSG00000001084	4235.968822612595	4885.780733329711	4397.985741160294	4529.594603430909	4154.3628065832245	4226.529961783129
ENSG00000001167	4032.220652166982	4189.322813851262	3799.7657326058797	3251.3274742651865	3040.19496387037	4155.2754696536085
ENSG00000001460	940.1606291788014	972.675871166187	1012.1044586645788	847.2544785046091	681.5122775166278	809.7124961049345
ENSG00000001461	5809.2837167346	6045.1092956588745	6015.087284829023	4603.695320895301	4135.942257671623	6652.511735012356
ENSG00000001497	3255.2628182861467	3512.023138558462	3392.2041781726093	2720.738343069544	2447.9496798203395	3707.788641045758
ENSG00000001561	172.77053632022347	145.88811201604233	116.95701859097981	111.80172832216992	91.34063173956456	88.389154724999
ENSG00000001617	1021.6882533385035	1147.975438372399	1145.47632458597	873.1190226881655	681.3208878866457	1256.0473254622236
ENSG00000001626	5.415544693311463	9.765155775048225	8.928665647832046	14.030892912779874	13.542980976235548	17.750479411514135
ENSG00000001629	5166.537550830701	5236.318155183215	5491.958142911232	3542.5834633939076	4011.996209135104	4311.596852079818
ENSG00000001630	7856.206476053602	7561.918756336553	7213.181348449006	6831.620132708167	6102.3562348885	6486.205803290724
ENSG00000001631	3169.5009441077327	3110.2441989678755	2989.796119673923	2802.693076869641	2280.5066784370088	2186.9491218927637
ENSG00000002016	829.6623226340765	831.9515111415003	901.0328347221405	660.0213831459766	469.1009388200963	726.7125311180861
ENSG00000002079	12.685257171679467	15.459610409696998	12.776250577292394	12.253220475576578	32.386672936402725	32.43064536565447
ENSG00000002330	1405.763624980078	1486.544629794977	1387.618418321064	947.1872707694624	934.1813158521627	1189.7781646016115
ENSG00000002549	3030.6367980975015	3651.492046406436	3260.1449479310063	2649.2415469022853	2388.7656050198016	3479.386085298133
ENSG00000002586	5949.33557372169	6852.744221055654	6796.41240367203	4453.296485330781	3729.1079990165495	5788.342560689374
