Gene	SRR1146604	SRR1146605	SRR1146606	SRR1146607	SRR1146608	SRR1146609
ENSG00000000003	655.9637122735587	772.0604048961504	607.8225829875496	692.9542648216302	604.3771726379434	654.5813140928668
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	2675.1314323548795	2842.5674140210576	2476.4305444071406	2413.6289202946355	2273.4267453054417	2088.6619225779773
ENSG00000000457	502.7664228863037	486.9479263315534	446.86490495369907	428.0363119365677	393.1524644090323	393.4983610423681
ENSG00000000460	1328.5507622405864	1390.2690513442235	1197.2167615038206	1043.5610240620422	1000.4523889913738	940.3318560842305
ENSG00000000938	11.634205925432477	4.342292501924961	7.243733781190366	5.080852571943304	12.279140365893971	12.032917570826793
ENSG00000000971	873.1930169076824	874.949034823385	702.1250445133551	850.3681661334322	692.666964332795	748.7406016741661
ENSG00000001036	7151.696822218494	7361.394235542083	6866.545835745142	5416.366768808547	4965.410208243824	5664.377784526523
ENSG00000001084	4236.087703254922	4885.633199291799	4398.106270825812	4529.5419280418855	4154.276000253494	4226.5471932717455
ENSG00000001167	4032.415037898284	4189.034552237453	3799.9847770511906	3251.332519626987	3040.2474072268014	4154.996868297687
ENSG00000001460	940.1717223925632	972.6116387317724	1012.099997682402	847.2603244287183	681.5591175305929	809.691016773073
ENSG00000001461	5809.022554819157	6045.507533368543	6015.305629291411	4603.675591062792	4135.797076937865	6652.387050209228
ENSG00000001497	3255.2764933453113	3512.0785195341887	3392.287789776064	2720.7871782110165	2447.866210011387	3707.6809996498614
ENSG00000001561	172.7805692994669	145.87959244632876	116.95380199211672	111.79440662627768	91.34541451628591	88.39257837192518
ENSG00000001617	1021.6200489827438	1147.9424537941345	1145.4902311641301	873.2122343375289	681.3046665607189	1256.0640588978374
ENSG00000001626	5.415601379103056	9.765012056527553	8.928667766563972	14.030789388176908	13.54308506443222	17.75046491502479
ENSG00000001629	5166.927658079497	5236.346996250357	5492.338710796669	3542.4107699262718	4011.9237786324043	4311.258687760376
ENSG00000001630	7856.371493612762	7561.589202341309	7213.003263694262	6831.712024796669	6102.550275455103	6486.209167641219
ENSG00000001631	3169.841383378368	3109.82985586047	2989.7552849570407	2802.6259732517697	2280.523180671572	2186.906057084105
ENSG00000002016	829.682990144776	831.9637100861119	901.0119387325194	660.0277056400602	469.0893770190421	726.7117215623673
ENSG00000002079	12.685230184544887	15.460307235223297	12.776278636228888	12.252959702962317	32.386647795727086	32.42960635284858
ENSG00000002330	1406.0050926093231	1486.7018269516925	1387.3354555924736	947.1896284705603	934.0735354908986	1189.8049659838473
ENSG00000002549	3030.2800105091683	3651.5791478430997	3260.012242310052	2649.192413358949	2388.9275350454113	3479.727682368771
ENSG00000002586	5949.209406149454	6853.042111560555	6795.761121829903	4453.448092503706	3729.3255207575344	5788.181220980351
