Gene	SRR873426	SRR873427	SRR873428	SRR873429	SRR873430
ENSG00000000003	5112.650495109668	6630.880219165877	3439.7614277207776	2659.2792194826716	1858.0527572636834
ENSG00000000005	0	0	99.03544507773998	0	0
ENSG00000000419	3238.776798748991	5939.096323957064	2588.1046406292726	1564.6151050646959	4448.502802004401
ENSG00000000457	330.4394107885086	853.0281158926194	524.849499260956	527.4507755345554	773.2670425477581
ENSG00000000460	729.161302789089	2083.3612487332794	2469.544226091603	2210.4183956091133	2190.5617373394184
ENSG00000000938	0	0	0.9093796421703735	149.07590243474593	0
ENSG00000000971	7908.12163349227	29128.602305320852	900.8358627006864	14976.89790009293	11175.294883198721
ENSG00000001036	7945.912491011918	18652.225519844615	13530.869616630273	17012.481808450437	12669.164951960862
ENSG00000001084	2672.554423233411	2323.300570751485	2398.2656471277132	5236.525102034354	10765.202770533218
ENSG00000001167	3906.267004613138	3935.039897070063	4389.673918810367	4131.677718337452	3667.5787594603603
ENSG00000001460	492.4119906174456	665.8515719119638	294.06671129028484	286.7394052642158	665.6446384840484
ENSG00000001461	1983.4420211565132	2957.8653075054062	717.7016437295815	1248.2299542145363	1315.375117535859
ENSG00000001497	4002.065561816196	6919.60191781668	5264.560494590417	2289.678348793811	2439.354987732139
ENSG00000001561	54.52064889516491	196.53284759347773	796.7969675005502	547.3528111492769	2121.0821411719753
ENSG00000001617	2.4361083076314487	26.641159752656524	47.98312485456539	308.64360245701096	60.457073454689066
ENSG00000001626	4.064549970008979	150.24203828339557	25.042935273147553	15.170841949779767	25.682682407557934
ENSG00000001629	8025.292806863028	1366.0817918842831	3926.940080626371	1298.6572334510113	6633.672639386311
ENSG00000001630	7220.57947777855	18597.579109858692	8480.5433882009	22866.62006429275	12072.5404931562
ENSG00000001631	2409.4287126621707	962.4832131887102	1550.0328369277674	602.4771861017588	1770.5945067222272
ENSG00000002016	767.4331016474945	605.4498767872672	191.40244271319386	482.46960097025965	1100.0998759358279
ENSG00000002079	22.8239824819744	45.987841276735246	53.5887299114924	12.21610364815315	316.5771116433613
ENSG00000002330	573.384857049758	2335.944401182313	1327.9067013617303	1349.5641009092465	683.1795690021551
ENSG00000002549	5654.793361506497	7600.604367877588	4300.90999182894	7049.59876653569	4494.704686307528
ENSG00000002586	6382.949448305823	12354.824246793272	5806.139376537666	7107.22861653756	3003.6061476705636
ENSG00000002587	9.604266003122774	314.71880487031535	15.289281167342072	202.18875952944896	78.97146797446922
ENSG00000002726	4.963514835983849	41.96754821331547	50.148813590895486	11.0725475168519	23.730604401012574
ENSG00000002745	4.871056916350121	5.081940282380559	0	0	7.169052738734354
ENSG00000002746	66.48346014713586	95.96648315895548	137.8957958520699	63.710641878873766	663.5604928323004
ENSG00000002822	879.5469291499807	3438.172394160132	2146.88611912804	1055.8278612496947	1149.506770773648
ENSG00000002834	20667.932985461695	43814.47673426	28132.958196442185	26135.21314876684	29234.43241411506
